Description,Niveau,Prix,Fiabilite
construction estimation and preconstruction,2.0,21.752,0.8257217692865116
help you with pyspark databricks adf,2.0,7.613,0.8124186893906896
data cleaning data etl and visualization,1.0,10.876,0.7817169347284559
professional technical writing data science machine learning artificial,1.0,10.876,0.7817169347284559
program in matlab or help to process data or signals,1.0,1.088,0.8117015350798469
web scraping data engineering ml,1.0,10.876,0.7817169347284559
connect api with spreadsheet,1.0,5.438,0.8019827923533767
calculate earthwork quantities cut fill volume autocad civil 3d,2.0,2.176,0.8267383660435077
big data engineering and data warehouse related work,2.0,3.263,0.8383581696817393
sql queries optimizing queries and python development,2.0,2.176,0.8267383660435077
automate any processes with rpa bots,1.0,1.088,0.40938389085035876
clean your data and get it into an unified format using python,1.0,5.438,0.8019827923533767
mine scrape extract and clean data,1.0,5.438,0.8019827923533767
doing excel vba management application,1.0,1.088,0.8117015350798469
data engineer,3.0,16.314,0.8439467302736793
mechanical engineering work,2.0,21.752,0.8257217692865116
assist you in fleet management maintenance and repairs,1.0,1.088,0.8117015350798469
data warehouses and etl pipelines,1.0,4.351,0.5900829808561056
data engineering in python,1.0,10.876,0.7817169347284559
data cleaning data etl and visualization,1.0,10.876,0.7817169347284559
projects manage big data hadoop spark hive pyspark,2.0,2.176,0.8267383660435077
construction estimation and preconstruction,2.0,21.752,0.8257217692865116
your dataset database in sql server,2.0,2.176,0.8267383660435077
data manipulation using pandas python,1.0,5.438,0.6341244805759434
data analysis projects using power bi sql python excel,1.0,2.176,0.5809402158035948
use power automate or ssis to automate workflows and alerts,1.0,10.876,0.7817169347284559
data analysis visualization ml using rstudio,2.0,1.088,0.6605463339332744
race engineer,1.0,10.876,0.7817169347284559
big data analysis in python pyspark hive sql mapreduce etc,1.0,3.263,0.7555635241137366
automate web tasks with python in 12hrs,2.0,6.526,0.8537775676752782
machine learning spss stata r and python,2.0,2.176,0.8267383660435077
assist you in engineering economics and financial analysis,2.0,2.176,0.8267383660435077
your electrical power system analysis using etap,1.0,1.088,0.8117015350798469
wordpress woocommerece data entry,2.0,2.176,0.8267383660435077
data warehouses and etl pipelines,2.0,4.351,0.6167757066627451
data engineering pipeline using azure cloud platform,2.0,2.176,0.8267383660435077
data transformation and integration with talend,1.0,1.088,0.8117015350798469
give solution of big data and data science task and machine learning,1.0,10.876,0.7817169347284559
help you with pyspark databricks adf,2.0,7.613,0.8124186893906896
web scraper web scraping data extraction bots with python,1.0,2.176,0.8267383660435077
experienced in computing app i will creates,1.0,9.788,0.7747154418862047
scrape data and clean the datasets,2.0,2.176,0.8267383660435077
data etl with pig hive mapreduce and spark,2.0,6.526,0.8537775676752782
web scraping data mining data extraction from any website or api,1.0,1.088,0.5234946419594957
etl with ssis and azure,2.0,21.752,0.8257217692865116
develop system administration in your organization,1.0,1.088,0.40938389085035876
develop data engineering devops mlops applications for you,1.0,1.088,0.687228727350409
data mining waka classification decision tree,1.0,1.088,0.8117015350798469
sap bw hana abap sap analytics cloud implementation,2.0,21.752,0.8257217692865116
gonna help you build your data pipelines,2.0,21.752,0.8257217692865116
any etl task in spark scala pyspark databricks,1.0,2.176,0.40938389085035876
gonna help you build your data pipelines,2.0,21.752,0.8257217692865116
any etl task in spark scala pyspark databricks,1.0,2.176,0.40938389085035876
the best service in word excel formula automation,1.0,1.088,0.6167757066627451
etl with ssis and azure,2.0,21.752,0.8257217692865116
a dashboard in r shiny html,1.0,28.277,0.7745060343539361
prepare the data pipeline,2.0,1.088,0.8117015350798469
transcribe your text into audio video with voice over,1.0,1.088,0.8117015350798469
data analysis entry and python automation,1.0,10.876,0.7817169347284559
etl data warehousing sql python ml,1.0,10.876,0.7817169347284559
python programs for data scrapping and automation,1.0,1.088,0.8117015350798469
elasticsearch sizing and design,1.0,8.701,0.8400849468920055
exploratory data analysis feature engineering using pandas numpy matplotlib,1.0,1.088,0.8117015350798469
and build dbt models for data transformation,1.0,1.088,0.8117015350798469
machine learning data science data analysis visualization project in python,1.0,1.088,0.8117015350798469
sql queries design database models and erds,2.0,3.263,0.8383581696817393
azure cloud administrator,1.0,10.876,0.7817169347284559
big data and statistical data analysis using spark datascience python,1.0,4.351,0.5900829808561056
set up an elasticsearch cluster and transfer your data,2.0,2.176,0.8267383660435077
a custom tableau web data connector,2.0,21.752,0.8257217692865116
big data projects,2.0,2.176,0.8267383660435077
give virtual assistant services for data entry web research,2.0,2.176,0.8267383660435077
any machine learning task,2.0,2.176,0.8267383660435077
engineer your data based your needs,1.0,10.876,0.7817169347284559
data engineer,2.0,2.176,0.8267383660435077
publish crypto press release coins press release blockchain press release,2.0,3.263,0.8383581696817393
code aws lambda functions amazon aws,1.0,1.088,0.5809402158035948
data analysis machine learning deep learning computer vision projects python,2.0,17.401,0.767709174000645
use vba and others to automate processes,2.0,2.176,0.8267383660435077
assist you in algebra calculus business math and statistics,1.0,1.088,0.8117015350798469
web scraping data mining and data collection for any websites,1.0,2.176,0.8267383660435077
data scrapping by creating an automated bot using python,2.0,6.526,0.8537775676752782
ssis optimized solutions,1.0,1.088,0.8117015350798469
data extraction csv json xml xls using python script,1.0,10.876,0.7817169347284559
assist you in data analysis tasks,3.0,15.226,0.8329530956439273
an alteryx workflow for you,1.0,10.876,0.7817169347284559
configure and install hadoop and big data services,1.0,3.263,0.38482085739933725
convert images into text every format,1.0,1.088,0.8117015350798469
setup your data warehouse in big query setup,3.0,15.226,0.8329530956439273
data entry and autocad jobs,1.0,1.088,0.8117015350798469
data engineering for model building,1.0,21.752,0.8257217692865116
data preparation for analysis and visualization,2.0,7.613,0.8124186893906896
perform data mining data of your interest giving them the format your prefer,2.0,32.627,0.8394742023221026
a data engineering pipeline,2.0,76.129,0.8066337473092376
big data platform premise,2.0,43.503,0.771696797298679
help you with pyspark databricks adf,1.0,9.788,0.7747154418862047
assist you with tasks related to autocad drafting and 2d floor plans,2.0,2.176,0.8267383660435077
perform data cleaning for data analysis sql and sheets,1.0,1.088,0.8117015350798469
aws data engineer,1.0,1.088,0.8117015350798469
microsft excel related work,2.0,2.176,0.8267383660435077
design best pubg gaming and disgin,1.0,1.088,0.8117015350798469
want to make profitable your google adword ppc campaigns,1.0,11.964,0.7144028867632759
automate websites or other processes using python selenium,1.0,6.526,0.40938389085035876
fix data in elasticsearch,1.0,7.613,0.40938389085035876
networking cyber security risk assessment and vulnerability assessment tasks,1.0,1.088,0.8117015350798469
etl development processing,2.0,2.176,0.8267383660435077
web scraping and web automation using python,2.0,4.351,0.6418029522161849
machine learning data science and python projects,1.0,2.176,0.5234946419594957
build or modify your ssis packages,2.0,6.526,0.8537775676752782
use python for data merge and automate data files and analyze data,2.0,2.176,0.8267383660435077
sql query database data analysis software design,1.0,1.088,0.6605463339332744
azure data factory and synapse pipeline,2.0,43.503,0.771696797298679
develop your apache flink pipelines and jobs,1.0,10.876,0.7817169347284559
data entry web research excel lead generation virtual assistant,1.0,1.088,0.5809402158035948
data migrations to cloud platforms like google bigquery,1.0,4.351,0.6167757066627451
resolve big data spark hadoop kafka hive problem for you,1.0,10.876,0.6734841528034008
script automations for collecting or processing data etl,2.0,32.627,0.8394742023221026
data migration etl from source to bigquery,1.0,2.176,0.40938389085035876
database etl warehouse sql nosql bi and dashboard reports,1.0,1.088,0.6167757066627451
data analytics data migration etl all related to data,2.0,43.503,0.771696797298679
implement nifi hdfs spark grafana kubernetes,1.0,1.088,0.8117015350798469
big data automation and build bots in python,1.0,3.263,0.40938389085035876
web scrape automate and analyse data and web processes,1.0,5.438,0.8019827923533767
google sheets and drive api tasks,1.0,10.876,0.6167757066627451
solution for talend etl,1.0,1.088,0.8117015350798469
automate your powerapp powerbi or sql with python bots,1.0,5.438,0.40938389085035876
artificial intelligence project for you,1.0,10.876,0.5809402158035948
pyspark coding in databricks,1.0,4.351,0.6418029522161849
data extraction conversion and parsing of xml json txt csv logs using python,2.0,21.752,0.8257217692865116
your etl pipeline,1.0,10.876,0.7817169347284559
machine learning data science data analysis data mining project in python,1.0,2.176,0.40938389085035876
scrape data for your project,1.0,10.876,0.40938389085035876
data engineering tasks for you,1.0,1.088,0.8117015350798469
services in autocad revit primavera structure analysis,1.0,1.088,0.8117015350798469
help you to analyze and monitor azure data factory,2.0,3.263,0.8383581696817393
automated scripts and build data pipelines for creating insightful report,1.0,10.876,0.7817169347284559
help you in etl databases big data spark and python,1.0,1.088,0.8117015350798469
professional excel formula dashboard draphs automation with vba macro,1.0,2.176,0.8267383660435077
python web scraping and task automation,2.0,2.176,0.8267383660435077
build a solution in aws with upto 10k gbp in free credits,2.0,108.756,0.8042977134810643
draft and plot in auto cad civil3d for roads and water works,1.0,10.876,0.7817169347284559
data analysis data visualization data scraping create data framework,2.0,2.176,0.8267383660435077
python projects for you,1.0,1.088,0.5234946419594957
help in learning big data,2.0,2.176,0.8267383660435077
data engineering coding python sql and gcp,1.0,1.088,0.8117015350798469
gathering your data from web scraping csv xml json and data base using python,2.0,2.176,0.8267383660435077
consulation and feedback data management,3.0,23.927,0.8476840377344449
edit and convert pdf to word or jpg scanned pdf to word editable,2.0,2.176,0.8267383660435077
data engineering coding python sql and gcp,1.0,1.088,0.8117015350798469
help in learning big data,2.0,2.176,0.8267383660435077
consulation and feedback data management,3.0,23.927,0.8476840377344449
help you with your project using scalable and maintainable solutions,1.0,4.351,0.5900829808561056
build a solution in aws with upto 10k gbp in free credits,2.0,108.756,0.8042977134810643
python script for data analysis or scraping,2.0,2.176,0.8267383660435077
bash shell python numpy pandas opencv scikit learn assignments projects,1.0,2.176,0.40938389085035876
python projects for you,1.0,1.088,0.5234946419594957
data entry copy paste virtual assistant data mining,1.0,1.088,0.8117015350798469
setup etl pipelines write pyspark and python scripts for data transformation,1.0,26.102,0.6724261830516075
and develop your etl packages using ssis,2.0,32.627,0.8394742023221026
help building big data etl pipelines,2.0,2.176,0.8267383660435077
pro quality articles and blog content,1.0,1.088,0.8117015350798469
a python script,1.0,4.351,0.5900829808561056
data integration and etl solutions to my clients,2.0,2.176,0.8267383660435077
help you to build a dataset of images about any topic,1.0,1.088,0.8117015350798469
data entry mining analyzing and graphing,1.0,1.088,0.8117015350798469
prepare process and instrumentation diagrams,2.0,2.176,0.8267383660435077
make django web application and python scripts apis,2.0,43.503,0.771696797298679
help you with pandas and sql,1.0,2.176,0.8267383660435077
crawling expert and building meaningful insights,2.0,43.503,0.771696797298679
python spark pandas numpy beautifulsoup and matplotlib,2.0,6.526,0.8537775676752782
help you write sql queries dbt postgres redshift,2.0,2.176,0.8267383660435077
and manage a data warehouse,1.0,4.351,0.5900829808561056
projects in data engineering,2.0,3.263,0.8383581696817393
data entry logo design copy paste presentation photo edit,2.0,2.176,0.8267383660435077
data engineering a virtual assistant,1.0,21.752,0.40938389085035876
help with electrical electronics engineering and matlab,2.0,2.176,0.8267383660435077
perform etl process your postgressql data,1.0,3.263,0.8383581696817393
web scraping using python and scrapy,1.0,10.876,0.7817169347284559
automatic excel reports,1.0,1.088,0.8117015350798469
enable you to take data driven decisions,1.0,5.438,0.8019827923533767
generate data files from your data like nft json service,2.0,17.401,0.7057001703361976
etl pipelines databases data warehousing cloud,2.0,108.756,0.8042977134810643
extract transform and load your data,1.0,2.176,0.6167757066627451
etl process your mysql sqllite data,1.0,2.176,0.6167757066627451
help you with informatica etl development,1.0,4.351,0.40938389085035876
and automate the azure data pipelines,2.0,3.263,0.8383581696817393
big data solutions using hadoop pyspark hive etc,1.0,3.263,0.40938389085035876
enter data in best way 1,2.0,2.176,0.8267383660435077
research by means of spss eview amos and etc,1.0,26.102,0.6724261830516075
build and model data for your business use case in bigquery,2.0,116.369,0.6418029522161849
big data analytics using apache spark,1.0,6.526,0.5809402158035948
help with data engineering in gcp azure postgres snowflake,2.0,103.318,0.6597395782563926
help you write and optimize queries in sql,1.0,1.088,0.5809402158035948
data engineering using aws and python,1.0,4.351,0.40938389085035876
data cleaning using python pandas,1.0,1.088,0.8117015350798469
help you with teradata developer activities,1.0,4.351,0.5234946419594957
you any data engineering service,1.0,8.701,0.6167757066627451
snowflake database query writing,1.0,1.088,0.8117015350798469
sql for db2 mysql hive couch base,1.0,1.088,0.8117015350798469
professional quantity surveyor,2.0,3.263,0.8383581696817393
categorization or classification of your image text video data,1.0,2.176,0.5234946419594957
make dashboard for iot,1.0,1.088,0.6605463339332744
surveying problems and assignments,1.0,2.176,0.40938389085035876
totally change the way you think about data helping you with power query,2.0,3.263,0.8383581696817393
build data engineering pipelines,1.0,10.876,0.5234946419594957
data tasks include scala and spark and related etl,2.0,3.263,0.8383581696817393
web scrapping and help you get and process your data,1.0,13.051,0.7194911064004395
web scraping for you,1.0,1.088,0.8117015350798469
speech recognition system,2.0,21.752,0.8257217692865116
automate your any task in excel by using excel vba macros,1.0,1.088,0.8117015350798469
work the data extraction transformation and loading using aws azure service,2.0,2.176,0.8267383660435077
etl and data engineering jobs,1.0,4.351,0.5900829808561056
personal fba amazon virtual assistant amazon ppc,1.0,1.088,0.8117015350798469
tech partner and bigdata developer,1.0,4.351,0.5900829808561056
linkedin resume business resume redesign analytics job hunting resume,2.0,6.526,0.8537775676752782
data entry work typing image pdf into word excel,1.0,1.088,0.8117015350798469
connect with sports data and find live data to integrate for whatever use,2.0,6.526,0.8537775676752782
any work that you need related with data,1.0,10.876,0.7817169347284559
pipeline in azure data factory and program in python,2.0,6.526,0.8537775676752782
detailed cost estimation and quantity takeoff,1.0,1.088,0.8117015350798469
develop python programs to extract and process data from excel files,3.0,16.314,0.8439467302736793
set up serverside tag manger to improve your analytics,2.0,217.511,0.7307604676796035
a full analysis of your data,2.0,2.176,0.8267383660435077
data entry typing work in excel spreadsheet,1.0,4.351,0.5900829808561056
data science python jobs,2.0,2.176,0.8267383660435077
setup data pipe line in between gcp aws azure,1.0,5.438,0.8019827923533767
data engineering using python sql and aws,2.0,8.701,0.8400849468920055
data mine for business strategy,2.0,184.884,0.7307604676796035
your data warehouse design and etl and dashboards,2.0,21.752,0.8257217692865116
automate your data process with google sheets or python,1.0,2.176,0.8267383660435077
extract transform load data with python,2.0,21.752,0.8257217692865116
make proper excel data base and create reports,1.0,11.964,0.7144028867632759
work tsql ssis performance tuning and batch scheduling,1.0,27.189,0.6227324350757245
extract your company technical data transfrom and validate,2.0,3.263,0.8383581696817393
mining engineer analysis,2.0,130.507,0.7785775092877795
assists you in machine learning with matlab,1.0,9.788,0.7747154418862047
clean split merge or organize your databases with python or r,1.0,4.351,0.5900829808561056
fix migrate analyze predict your data,1.0,4.351,0.5900829808561056
help in solutions with database etl visualizationand webscrapping,2.0,2.176,0.8267383660435077
real estate design according to the property architecture,1.0,10.876,0.7817169347284559
analyze your data i am good at data science,2.0,2.176,0.8267383660435077
build apache airflow etl pipelines and schedule workflows,2.0,2.176,0.8267383660435077
databricks etl task for you and create dashboards,2.0,3.263,0.8383581696817393
optimize your airtable base for reporting,2.0,8.701,0.8400849468920055
scrape any website with python,1.0,10.876,0.7817169347284559
data analysis customize big data,1.0,10.876,0.7817169347284559
implement in matlab optimization methods for your research,1.0,2.176,0.8267383660435077
accurate data entry,1.0,1.088,0.8117015350798469
python web scraping script,2.0,2.176,0.8267383660435077
web scraping and data mining from webpages,1.0,1.088,0.8117015350798469
python scripting debug your script and data extraction,1.0,10.876,0.7817169347284559
databricks etl task for you and create dashboards,2.0,3.263,0.8383581696817393
a python bot that will scrape any website for you,2.0,43.503,0.771696797298679
clean and pre process your data,1.0,1.088,0.8117015350798469
targeted telegram bulk dm pm mass message marketing and promotion camp,1.0,4.351,0.5900829808561056
build apache airflow etl pipelines and schedule workflows,2.0,2.176,0.8267383660435077
data exploratory analysis using python r language,2.0,2.176,0.8267383660435077
any machine learning and deep learning project,2.0,8.701,0.8400849468920055
analyze your speech and audio data,2.0,2.176,0.8267383660435077
develop calculated excel sheets,1.0,10.876,0.7817169347284559
develop data etl pipelines analytics and reporting solutions,1.0,10.876,0.5234946419594957
api data development integration extract scraping hadoop talend,1.0,10.876,0.7817169347284559
nitro pdf editor adobe acrobat services,2.0,2.176,0.8267383660435077
data engineering pipeline using google cloud platform,1.0,3.263,0.40938389085035876
fetch instagram profile followers posts and likes,2.0,2.176,0.8267383660435077
data analysis data visualization and machine learning,2.0,2.176,0.8267383660435077
your python programs and script,1.0,1.088,0.5234946419594957
cloud solutions to you,1.0,4.351,0.5900829808561056
business intelligence consultant,2.0,6.526,0.8537775676752782
build your trading bot in python,1.0,4.351,0.40938389085035876
database with the integration of web api,1.0,1.088,0.5809402158035948
etl work for you using microsoft tools,1.0,2.176,0.40938389085035876
apache spark projects,1.0,4.351,0.5234946419594957
help you with python pandas tasks numpy tasks and jupyter notebooks,1.0,3.263,0.8383581696817393
help with aws migration and cloud data lake,2.0,3.263,0.8383581696817393
setup rivery to extract and transform data,1.0,10.876,0.7817169347284559
develop and design your databases oracle ms access,2.0,2.176,0.8267383660435077
an excel macro with vba interface,1.0,4.351,0.5900829808561056
americans attorney at law data,1.0,65.254,0.7749450337992734
work data engineer,2.0,2.176,0.8267383660435077
python web scraping writing automated scripts,2.0,8.701,0.8400849468920055
help you in quality control subject problems,1.0,1.088,0.8117015350798469
treat your project mine for splendid service try,1.0,4.351,0.5900829808561056
data pipelines using matillion etl tool,1.0,4.351,0.5900829808561056
develop data analytics and data engineering based projects,2.0,217.511,0.7307604676796035
complex sql for big data analytics,2.0,3.263,0.8383581696817393
etl process and make data warehouse and visualization,2.0,2.176,0.8267383660435077
automate business tasks and web scraping,2.0,6.526,0.8537775676752782
data integration etl job using talend,1.0,1.088,0.8117015350798469
automate google sheets with apps script or python,1.0,1.088,0.8117015350798469
circuit network theory expert,1.0,1.088,0.8117015350798469
data cleaning data wrangling or data visualization in python,1.0,1.088,0.8117015350798469
develop data analytics and data engineering based projects,2.0,217.511,0.7307604676796035
data integration etl job using talend,1.0,1.088,0.8117015350798469
data cleaning munging transformation and visualization,2.0,7.613,0.8124186893906896
r programming rstudio projects,2.0,2.176,0.8267383660435077
analyze clean transform add skews and modify your data,1.0,4.351,0.5900829808561056
boqs escalations takeoff quantity,2.0,2.176,0.8267383660435077
your research spss,1.0,1.088,0.8117015350798469
professional office reporting with excel and access,2.0,65.254,0.7749450337992734
help with spark and scala,2.0,3.263,0.8383581696817393
find the market data you need,1.0,10.876,0.7817169347284559
python scripts data parsing converting excel csv json txt,1.0,10.876,0.7817169347284559
migrate your data into snowflake,1.0,21.752,0.40938389085035876
install sql server 2019,2.0,6.526,0.8537775676752782
data science statistical and regression analysis python,2.0,2.176,0.8267383660435077
and develop big data solutions,1.0,13.051,0.7194911064004395
sql and python for data analysis,1.0,4.351,0.5900829808561056
help clean transform store and etl huge data using apache spark in databricks,2.0,3.263,0.8383581696817393
export your filemaker data properly to excel,2.0,3.263,0.8383581696817393
develop data pipelines for your business,1.0,21.752,0.8257217692865116
data analysis with visualization,1.0,1.088,0.8117015350798469
make any type of road cross section takeoff quantity,2.0,2.176,0.8267383660435077
assignments in industrial engineering fields,2.0,3.263,0.8383581696817393
scalable etl big data pipelines with python cloud,1.0,8.701,0.713048267717348
teach you excel features and functions,2.0,7.613,0.8124186893906896
data engineer big data data warehouse data mining api integration etl,1.0,10.876,0.7817169347284559
services of ssis,1.0,8.701,0.8400849468920055
quick and bulk skip tracing services,2.0,2.176,0.8267383660435077
extract and scrape data from any website for you,1.0,4.351,0.5900829808561056
any task with pyspark or spark,2.0,2.176,0.8267383660435077
excel automation and excel vba for fast data processing,2.0,27.189,0.7132369501573935
build and design end to end etl data pipeline using python,2.0,6.526,0.8537775676752782
research oriented technical writing data science,1.0,1.088,0.38482085739933725
be best at data analysis and data management,1.0,4.351,0.5900829808561056
help you with google cloud function gcp,1.0,2.176,0.8267383660435077
data engineering analytics projects across technologies,1.0,5.438,0.5234946419594957
big data with hadoop kafka spark pandas,1.0,10.876,0.5809402158035948
help setup and build dbt models for data transformation,1.0,8.701,0.5234946419594957
automate data pipelines using azure data factory,2.0,8.701,0.8400849468920055
deliver data testing services or consultancy,2.0,8.701,0.8400849468920055
connect your google analytics to bigquery,1.0,2.176,0.8267383660435077
help you with big query gcp postgresql queries,1.0,9.788,0.7747154418862047
etl pipeline with airflow,1.0,8.701,0.6167757066627451
missing data handling using python,1.0,2.176,0.40938389085035876
big data analysis with pyspark mlib sql and kafka,1.0,5.438,0.8019827923533767
13600 google map pin point for gmb map ranking,1.0,1.088,0.8117015350798469
sql queries for your business logics and analytics,1.0,5.438,0.8019827923533767
the services of presentation and video lectures,1.0,2.176,0.40938389085035876
load flow short circuit analysis and design using etap,1.0,1.088,0.5809402158035948
web scraping crawling using scrapy bs4 selenium,2.0,16.314,0.7843705829803926
web scraping and data mining from any website,1.0,6.526,0.7194911064004395
pv solar system and do the estimation and all the required design,1.0,2.176,0.40938389085035876
work with spark kafka and cassandra projects,1.0,26.102,0.40938389085035876
data extraction from pdf scanned image to csv excel db,1.0,4.351,0.5900829808561056
machine learning projects and thesis work,1.0,21.752,0.40938389085035876
scrape data clean and transform it from targeted website,2.0,65.254,0.7749450337992734
in excel any task from formulas to full comm even with new webprocesses 24h,2.0,2.176,0.8267383660435077
data engineering sql dba etl ssis ssas ssrs dwh bi consultant,2.0,43.503,0.771696797298679
services in databases data warehousing and data engineering pipelines,2.0,2.176,0.8267383660435077
solve your data problems using apache spark,1.0,1.088,0.8117015350798469
google cloud data engineer,2.0,174.009,0.7307604676796035
help you with alteryx,2.0,6.526,0.8537775676752782
excellent quantity surveying schedules and repots,1.0,1.088,0.8117015350798469
spark and data engineering pipeline related tasks,2.0,2.176,0.8267383660435077
we do data engineering visualization and data warehousing,2.0,6.526,0.8537775676752782
guest post high da guest post guest post tech,2.0,6.526,0.8537775676752782
data processing analytics data entry and text analytics,2.0,108.756,0.8042977134810643
perform data conversion extraction using python spark airflow,1.0,4.351,0.5900829808561056
amazon dropshipping service for you,2.0,2.176,0.8267383660435077
help you with any kind of machine learning related project,3.0,16.314,0.8439467302736793
big data analytics in spark scala and hive,2.0,3.263,0.8383581696817393
scala and spark related tasks,1.0,1.088,0.8117015350798469
solve reports and assignments for all grades,1.0,1.088,0.8117015350798469
data extration from websites into csv excel etc,1.0,4.351,0.5900829808561056
build etl pipeline with talent airflow ssis nifi pyspark scala,1.0,2.176,0.8267383660435077
data process storage analytics and python programming,2.0,108.756,0.8042977134810643
data cleaning data wrangling or visualization in python,2.0,6.526,0.8537775676752782
service in excel macros vba formulas and report,1.0,13.051,0.7194911064004395
computer vision machine learning research projects,1.0,9.788,0.7747154418862047
data cleaning and visualization your messy data,1.0,1.088,0.8117015350798469
data scientist analyst and machine learning expert,2.0,6.526,0.8537775676752782
excel spreadsheet expert,1.0,4.351,0.5900829808561056
mine or extract the data you will request,1.0,1.088,0.8117015350798469
data processing in your bigquery account,1.0,10.876,0.7817169347284559
content writer and article writer,1.0,1.088,0.8117015350798469
solve your excel file problems,1.0,1.088,0.8117015350798469
architect dbt data pipeline,2.0,163.133,0.7785775092877795
etl data loading and create mapping informatica,2.0,3.263,0.8383581696817393
connect your data source to your bigquery data warehouse,2.0,87.005,0.8031130286369451
satisfy all your data pipeline and etl needs like parse extract convert data,2.0,8.701,0.8400849468920055
and develop erd eer database and schema normalization sql query,2.0,3.263,0.8383581696817393
data mining using weka,1.0,10.876,0.7817169347284559
offer help in etl process datwarehouse modelling data engineering,1.0,4.351,0.5900829808561056
apache spark tasks,2.0,43.503,0.771696797298679
expert excel formula dashboard graphs automation with vba macro,1.0,4.351,0.5900829808561056
and develop erd eer database and schema normalization sql query,2.0,3.263,0.8383581696817393
automate your data loading,2.0,21.752,0.8257217692865116
etl pipeline or do data processing,1.0,4.351,0.5900829808561056
help you in thermodynamics heat transfer and fluid mechanics,1.0,1.088,0.8117015350798469
expert excel formula dashboard graphs automation with vba macro,1.0,4.351,0.5900829808561056
data mining using weka,1.0,10.876,0.7817169347284559
handle data analysis using python,2.0,3.263,0.8383581696817393
r codes and interpret outputs well complete reports,1.0,1.088,0.8117015350798469
develop website crawlers for you,2.0,104.406,0.8042977134810643
connect your data source to your bigquery data warehouse,2.0,87.005,0.8031130286369451
etl and data pipelines and scheduling with airflow,2.0,2.176,0.8267383660435077
quick analysis make excel sheet dash board for farmer,1.0,4.351,0.40938389085035876
solutions for data engineering problems using hadoop and spark ecosystem,2.0,8.701,0.8400849468920055
offer help in etl process datwarehouse modelling data engineering,1.0,4.351,0.5900829808561056
apache spark tasks,2.0,43.503,0.771696797298679
a python script for a large csv,1.0,2.176,0.40938389085035876
data warehouses and data visualization,1.0,3.263,0.40938389085035876
azure data factory pipeline to do etl transformations,1.0,20.664,0.5809402158035948
data engineering solutions,2.0,21.752,0.5460838028553792
elasticsearch elasticstack kibana logstash,2.0,10.876,0.40938389085035876
doing work siemens plc s7 300 400 tia portal 1300 sada hmi,1.0,5.438,0.8019827923533767
your etl process using azure synapse analytics,1.0,27.189,0.5234946419594957
your pyspark code in azure databricks or synapse,1.0,27.189,0.40938389085035876
prepare baseline program and eot claims for construction projects and letters,2.0,652.532,0.7303164882442119
data engineering work,1.0,3.263,0.40938389085035876
azure data engineer,1.0,27.189,0.40938389085035876
web scraping online news article website or other sites,1.0,1.088,0.6418029522161849
a sql statement for your,1.0,4.351,0.5234946419594957
automate web tasks using python and selenium,1.0,9.788,0.7747154418862047
develop data warehouse ssis etl ssrs data visualization,1.0,5.438,0.40938389085035876
data automation scripts and bot creation,1.0,4.351,0.40938389085035876
data engineering work,1.0,3.263,0.40938389085035876
complex calculation in mathcad,1.0,1.088,0.8117015350798469
web scraping and data mining service,1.0,1.088,0.8117015350798469
automate aws ci cd continuous implementation and delivery pipelines,2.0,2.176,0.8267383660435077
data engineering in azure using python,3.0,21.752,0.6044401925294902
data science projects using scala and spark,2.0,2.176,0.8267383660435077
a reports progress payment doc production follow formations excel,1.0,5.438,0.8019827923533767
data science and visualization using python,2.0,2.176,0.8267383660435077
project related strength of materials and material engineering,2.0,2.176,0.8267383660435077
all data engineering stuff that you need,1.0,5.438,0.8019827923533767
be creating a solve blocks using mathcad,1.0,1.088,0.8117015350798469
data science machine learning tasks in python,2.0,3.263,0.8383581696817393
code fix problem and automate your task,2.0,8.701,0.730227948470436
a machine learning model for you,1.0,1.088,0.8117015350798469
architect end to end data pipelines,2.0,6.526,0.8537775676752782
build etl pipeline using premise or cloud resources,1.0,4.351,0.5900829808561056
data engineering google cloud gcp,1.0,3.263,0.8383581696817393
be creating a solve blocks using mathcad,1.0,1.088,0.8117015350798469
develop scalable data pipeline,2.0,21.752,0.8257217692865116
data augmentation images,2.0,2.176,0.8267383660435077
data science machine learning tasks in python,2.0,3.263,0.8383581696817393
etl data modeling pipelines data warehouse,1.0,4.351,0.5900829808561056
sql queries optimize queries and analyze data,2.0,3.263,0.8383581696817393
database administration for sql server oracle mysql,1.0,5.438,0.8019827923533767
use machine learning skills to modify gan for data synthesis,3.0,15.226,0.8329530956439273
make professional excel and google sheets,1.0,4.351,0.5900829808561056
matlab work now,1.0,10.876,0.7817169347284559
solve any type of excel issue using macros formulas or vba,2.0,2.176,0.8267383660435077
your mathcad calculation,1.0,1.088,0.8117015350798469
help you with anything in microsoft excel,2.0,8.701,0.8400849468920055
very advanced commands,1.0,1.088,0.8117015350798469
data analysis using machine learning techniques,1.0,4.351,0.5900829808561056
help with big data technologies,2.0,6.526,0.8537775676752782
your point clouds comparison and change detection,2.0,6.526,0.8537775676752782
data entry plot graphs charts cost estimate in 24 hrs,1.0,1.088,0.8117015350798469
your sql database,2.0,6.526,0.8537775676752782
data cleaning data wrangling or visualization in python,2.0,2.176,0.8267383660435077
machine learning data analysis modeling,2.0,32.627,0.8394742023221026
develop etl pipelines using azure cloud platform,2.0,21.752,0.8257217692865116
automatic custom web scraping into google sheets or csv,1.0,1.088,0.8117015350798469
